customerID,num_trades,total_volume,avg_trade_value,first_trade,last_trade,num_assets,asset_types,sector_diversity,investment_span_days,riskLevel,investmentCapacity,cluster,segment
00017496858921195E5A,124,267171.0,5874.604943548387,2020-03-27,2022-11-24,13,1,6,972,Aggressive,CAP_GT300K,2,Active Trader
00024864C985E72167A0,1,382.845,4999.993984500001,2021-09-09,2021-09-09,1,1,0,0,Predicted_Conservative,Predicted_CAP_LT30K,0,Passive Investor
0004718496C71D464F57,41,115352.0,10588.154512195122,2018-01-02,2022-11-30,14,2,5,1793,Predicted_Conservative,Predicted_CAP_80K_300K,1,Diversified Wealth Builder
000676D07A4CF7526ECB,1,496.085,4962.7847315,2022-11-22,2022-11-22,1,1,0,0,Income,CAP_30K_80K,0,Passive Investor
000900E880281981624D,2,14.0,700.0,2021-07-16,2021-07-16,1,1,1,0,Balanced,CAP_LT30K,0,Passive Investor
00090203A8C62E135D0B,2,400.0,263.0,2018-01-02,2022-01-20,1,1,1,1479,Income,CAP_LT30K,0,Passive Investor
001270E70A4ECA1CD664,12,18674.0,4557.1025,2018-01-02,2022-10-25,3,1,2,1757,Balanced,CAP_LT30K,0,Passive Investor
001387DFC77BD44899B2,13,6342.0,768.8538461538462,2020-03-18,2022-07-08,8,2,3,842,Balanced,CAP_30K_80K,1,Diversified Wealth Builder
0017D195DFD87A91C59D,4,282.0,746.52,2018-01-02,2021-04-21,2,1,1,1205,Conservative,CAP_LT30K,0,Passive Investor
001A82FE1591AD3926C7,6,52.0,11.949333333333334,2018-01-02,2022-05-24,3,1,1,1603,Income,CAP_30K_80K,0,Passive Investor
001D77E16FF29EC57F3E,2,18.1,239.95532,2018-01-02,2021-09-16,1,1,0,1353,Conservative,CAP_LT30K,0,Passive Investor
001DBF6F6166CB131033,6,3235.09,1082.3735363666667,2018-01-02,2021-08-30,2,1,0,1336,Predicted_Income,Predicted_CAP_LT30K,0,Passive Investor
002140974803B19E4F43,2,22.0,1100.0,2021-07-16,2021-07-16,1,1,1,0,Income,CAP_80K_300K,0,Passive Investor
00215BA74DB4920E04AF,4,1791.728,1680.1965357249999,2020-02-14,2021-06-15,1,1,0,487,Income,CAP_LT30K,0,Passive Investor
0022380BB9D5062D4627,4,41640.0,3173.0,2018-01-02,2020-01-16,2,1,1,744,Income,CAP_LT30K,0,Passive Investor
002443977993FF4A3219,4,198.0,82.6495,2018-01-02,2021-09-20,2,1,1,1357,Predicted_Income,Predicted_CAP_LT30K,0,Passive Investor
00257A17CD207724AE86,2,1568.914,1066.9399657,2018-01-02,2022-06-15,1,1,0,1625,Predicted_Income,Predicted_CAP_LT30K,0,Passive Investor
0025F4F5A591ECC76D2B,4,438.496,376.8539804,2018-01-02,2020-12-09,2,2,1,1072,Conservative,CAP_30K_80K,1,Diversified Wealth Builder
002A1215764F03F4B554,5,833.65,834.5432625,2018-01-02,2019-01-28,2,2,1,391,Predicted_Conservative,Predicted_CAP_LT30K,1,Diversified Wealth Builder
002D8901556066EA2453,14,297500.0,14957.857142857143,2020-05-14,2022-05-23,4,1,3,739,Income,CAP_30K_80K,0,Passive Investor
0030B344AA10500D927B,84,59799.0,880.6210714285714,2018-01-02,2022-11-23,7,1,4,1786,Balanced,CAP_LT30K,2,Active Trader
0032881DD2BDE26E4201,6,31.733,105.77845553333334,2021-03-03,2021-05-27,3,2,1,85,Balanced,CAP_LT30K,1,Diversified Wealth Builder
0038715CF6249F269F70,5,528.0,862.0484,2018-01-02,2019-10-11,3,1,2,647,Balanced,CAP_LT30K,0,Passive Investor
00393625688E74B6B0B1,2,548.218,929.5036189999998,2018-01-02,2018-06-04,1,1,0,153,Income,CAP_LT30K,0,Passive Investor
003CBF78D1FEC5C82D3F,2,176.0,993.96,2018-01-02,2018-05-22,1,1,1,140,Conservative,CAP_LT30K,0,Passive Investor
003E7F47F258AAD9B6B2,6,615.3399999999999,174.91313449999998,2018-01-02,2021-09-15,3,2,1,1352,Income,CAP_30K_80K,1,Diversified Wealth Builder
003F1A4138030CF429A4,6,3808.0,605.5780000000001,2018-01-02,2022-07-01,3,1,1,1641,Conservative,CAP_LT30K,0,Passive Investor
0043B3E3949F79969606,4,176.0,4400.0,2021-03-19,2021-07-16,2,1,1,119,Balanced,CAP_GT300K,0,Passive Investor
0047348122DF4782587F,4,906.25,443.125,2020-04-21,2020-05-27,2,1,1,36,Balanced,CAP_LT30K,0,Passive Investor
0047C2E9C1DB954967D4,2,12.0,81.57,2018-01-02,2022-11-14,1,1,1,1777,Income,CAP_LT30K,0,Passive Investor
0047E9FE559CF0E111E7,2,256.0,1394.56,2018-01-02,2018-11-27,1,1,1,329,Income,CAP_LT30K,0,Passive Investor
00485E4798EF9E51BC91,9,5568.0,2631.974666666667,2020-05-19,2021-04-14,3,1,1,330,Income,CAP_LT30K,0,Passive Investor
00496F70796C5E6737CC,2,64175.698,44744.90103805,2018-01-02,2021-03-10,1,1,0,1163,Predicted_Income,Predicted_CAP_LT30K,0,Passive Investor
004B2380D8EF9E2284FC,2,6764.96,92105.945144,2020-10-01,2022-09-21,1,1,0,720,Predicted_Balanced,Predicted_CAP_80K_300K,0,Passive Investor
004F433D4BD5A33BB796,2,900.158,5802.80103515,2018-01-02,2019-08-08,1,1,0,583,Predicted_Conservative,Predicted_CAP_LT30K,0,Passive Investor
